	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
186	23406356	5055772896	0	216	3664	250	33859	9606	11.63450924	42	108	108	27.27272727	23.406356	20683142	2723214	0.25	0.25	1	0.25	0.5	1	1	1	0.5	1	847
187	22973141	4594628200	22973141	200	2828	434	42559	9606	1.381219595	41	100	100	9.090909091	22.973141	22655832	317309	0.5	0.25	1	1	0.5	1	1	1	1	1	771
188	25571068	5114213600	25571068	200	2778	394	38447	9606	1.7534593	41	100	100	0	25.571068	25122690	448378	1	1	1	1	0.5	1	1	1	1	1	685
189	27580372	5516074400	27580372	200	2825	426	42571	9606	1.841457906	43	100	100	9.090909091	27.580372	27072492	507880	1	1	1	1	0.25	1	1	1	1	1	776
190	26078025	5215605000	26078025	200	2690	444	42557	9606	1.748708517	43	100	100	9.090909091	26.078025	25621997	456028	1	0.5	1	1	0.25	1	1	1	1	1	705
191	23490126	5073867216	23490126	216	3523	450	38449	9606	8.6860337	42	108	108	9.090909091	23.490126	21449766	2040360	0.25	1	1	1	0.5	1	1	1	1	1	617
192	26677000	5762232000	26677000	216	3431	400	33835	9606	7.30512908	42	108	108	9.090909091	26.677	24728211	1948789	1	0.25	1	0.5	0.5	1	1	1	1	1	797
193	23058660	4611732000	23058660	200	2716	394	42569	9606	0.980296245	41	100	100	9.090909091	23.05866	22832617	226043	1	0.25	1	1	0.5	0.5	1	1	1	1	678
194	21223943	4584371688	21223943	216	3394	450	41223	9606	6.785688532	38	108	108	0	21.223943	19783753	1440190	0.5	1	1	1	1	1	1	1	1	1	596
195	21292501	4258500200	21292501	200	2596	388	42575	9606	1.517771249	41	100	100	18.18181818	21.292501	20969330	323171	0.25	0.25	1	1	0.5	1	1	1	0.5	1	607
196	26474075	5718400200	26474075	216	3360	450	33847	9606	8.257990203	42	108	108	9.090909091	26.474075	24287849	2186226	1	0.25	1	1	0.5	1	1	1	1	1	852
